['580598: cncbarrier_f.p3d', 384]
['1992d0f6b00# 579627: stone_gate_f.p3d Land_Stone_Gate_F', 1585]
['579498: b_ficusc1s_f.p3d', 1691]
['579645: stone_8m_f.p3d', 1712]
['580643: pavement_narrow_f.p3d', 216]
['580702: hbarrier_5_f.p3d', 268]
['579619: tank_rust_f.p3d', 301]
['582254: mound01_8m_f.p3d', 1003]
['581164: b_ficusc1s_f.p3d', 503]
['581037: powerpolewooden_small_f.p3d', 321]
['580919: stone_4m_f.p3d', 1057]
['580813: sacks_goods_f.p3d', 1235]
['581782: mound02_8m_f.p3d', 1299]
['579575: stone_4m_f.p3d', 1312]
['579841: pavement_narrow_f.p3d', 1349]
['581683: b_ficusc1s_f.p3d', 1464]
['581684: b_ficusc1s_f.p3d', 1544]
['581637: b_ficusc1s_f.p3d', 1601]
['581087: pavement_narrow_f.p3d', 601]
['582453: t_ficusb1s_f.p3d', 953]
['581315: tyres_f.p3d', 416]
['581390: t_ficusb1s_f.p3d', 640]
['580927: workstand_f.p3d', 621]
['1780576: kestrel_f.p3d Kestrel_Random_F', 413]
['582559: t_oleae1s_f.p3d', 1027]
['580896: pavement_wide_f.p3d', 1135]
['581715: mound01_8m_f.p3d', 1289]
['581714: mound01_8m_f.p3d', 1380]
['580986: pavement_narrow_f.p3d', 1423]
['581735: mound02_8m_f.p3d', 1459]
['580850: pavement_wide_f.p3d', 1466]
['1790260: kestrel_f.p3d Kestrel_Random_F', 1533]
['1790828: kestrel_f.p3d Kestrel_Random_F', 1576]
['19957ae9600# 579831: stone_gate_f.p3d Land_Stone_Gate_F', 1579]
['579933: pavement_wide_f.p3d', 1651]
['579716: stone_8m_f.p3d', 1794]
['581081: stone_pillar_f.p3d', 423]
['580626: stone_8m_f.p3d', 207]
['580536: lampshabby_off_f.p3d', 330]
['581002: chairplastic_f.p3d', 455]
['1780868: kestrel_f.p3d Kestrel_Random_F', 480]
['579594: mound01_8m_f.p3d', 360]
['580596: cncbarrier_f.p3d', 1125]
['579944: waterbarrel_f.p3d', 1273]
['579972: b_ficusc1s_f.p3d', 1290]
['1789696: kestrel_f.p3d Kestrel_Random_F', 1487]
['581763: b_ficusc1s_f.p3d', 1535]
['579954: bench_01_f.p3d', 1648]
['579528: mound02_8m_f.p3d', 1688]
['NOID shop_02_dam_proxy2_f.p3d', 1821]
['579486: bench_02_f.p3d', 1847]
['580785: pipe_fence_4m_f.p3d', 94]
['581328: stone_pillar_f.p3d', 80]
['581339: mound02_8m_f.p3d', 795]
['581358: b_ficusc1s_f.p3d', 531]
['580721: b_ficusc1s_f.p3d', 26]
['581333: stone_8m_f.p3d', 400]
['51957: signt_stop.p3d', 749]
['581152: b_ficusc1s_f.p3d', 867]
['582258: mound02_8m_f.p3d', 1001]
['582447: stone_8m_f.p3d', 913]
['580590: b_neriumo2d_f.p3d', 235]
['582343: wall_tin_4_2.p3d', 982]
['581105: stone_8m_f.p3d', 794]
['582449: t_ficusb1s_f.p3d', 817]
['581738: stone_4m_f.p3d', 1008]
['582441: mound02_8m_f.p3d', 1060]
['582503: mound01_8m_f.p3d', 1085]
['582289: t_ficusb2s_f.p3d', 1091]
['579871: pavement_narrow_corner_f.p3d', 1147]
['579850: pavement_narrow_f.p3d', 1342]
['581678: b_ficusc1s_f.p3d', 1684]
['580805: cinderblocks_f.p3d', 392]
['1992d10c100# 580602: u_house_big_01_v1_f.p3d Land_u_House_Big_01_V1_F', 166]
['580727: b_ficusc1s_f.p3d', 19]
['580665: stone_pillar_f.p3d', 205]
['580959: b_ficusc1s_f.p3d', 520]
['581125: stone_8md_f.p3d', 826]
['580752: b_ficusc1s_f.p3d', 30]
['582237: t_ficusb2s_f.p3d', 886]
['582209: stone_4m_f.p3d', 1006]
['581766: b_ficusc1s_f.p3d', 1462]
['579893: garbagecontainer_open_f.p3d', 1473]
['579710: bench_02_f.p3d', 1717]
['581160: b_ficusc1s_f.p3d', 809]
['581103: stone_8m_f.p3d', 551]
['580750: b_ficusc1s_f.p3d', 159]
['1780797: kestrel_f.p3d Kestrel_Random_F', 544]
['582275: mound01_8m_f.p3d', 1088]
['581722: mound01_8m_f.p3d', 1176]
['581674: t_ficusb1s_f.p3d', 1371]
['579735: mound01_8m_f.p3d', 1600]
['579559: mound01_8m_f.p3d', 1756]
['581564: b_ficusc2s_f.p3d', 1862]
['581034: b_ficusc1s_f.p3d', 346]
['1995802e080# 580965: i_shop_02_v2_f.p3d Land_i_Shop_02_V2_F', 585]
['581060: t_fraxinusav2s_f.p3d', 369]
['1779849: water_source_f.p3d', 628]
['580652: b_ficusc1s_f.p3d', 176]
['582306: b_ficusc1s_f.p3d', 979]
['581092: pavement_narrow_f.p3d', 726]
['581224: stone_8m_f.p3d', 81]
['582332: t_ficusb1s_f.p3d', 972]
['581305: mound02_8m_f.p3d', 335]
['581381: stone_8m_f.p3d', 498]
['582327: stone_pillar_f.p3d', 824]
['580948: city_pillar_f.p3d', 858]
['580911: stone_8m_f.p3d', 1025]
['582571: b_ficusc1s_f.p3d', 1080]
['581720: mound01_8m_f.p3d', 1280]
['581775: mound01_8m_f.p3d', 1377]
['579520: b_ficusc1s_f.p3d', 1470]
['581659: b_ficusc2s_f.p3d', 1676]
['579820: bucket_f.p3d', 1706]
['579761: b_neriumo2s_white_f.p3d', 1718]
['581592: b_ficusc1s_f.p3d', 1864]
['580686: crateswooden_f.p3d', 381]
['19957e84100# 579998: i_stone_shed_v1_f.p3d Land_i_Stone_Shed_V1_F', 859]
['581431: mound01_8m_f.p3d', 869]
['51978: signt_sharpbendleft.p3d', 446]
['1992d120b80# 582244: i_house_small_01_v3_f.p3d Land_i_House_Small_01_V3_F', 619]
['581785: t_ficusb2s_f.p3d', 1296]
['579979: b_ficusc1s_f.p3d', 1368]
['580798: barrelsand_f.p3d', 1388]
['579844: pavement_narrow_f.p3d', 1434]
['1992d100100# 579681: belltower_02_v1_f.p3d Land_BellTower_02_V1_F', 1587]
['581632: b_ficusc1s_f.p3d', 1741]
